name,rank,competition,event,scores
sebrle,1,Decastar,long_jump,7.58
sebrle,1,Decastar,x100m,11.04
sebrle,1,Decastar,shot_put,14.83
sebrle,1,Decastar,x400m,49.81
sebrle,1,Decastar,points,8217
clay,2,Decastar,long_jump,7.4
clay,2,Decastar,x100m,10.76
clay,2,Decastar,shot_put,14.26
clay,2,Decastar,x400m,49.37
clay,2,Decastar,points,8122
karpov,3,Decastar,long_jump,7.3
karpov,3,Decastar,x100m,11.02
karpov,3,Decastar,shot_put,14.77
karpov,3,Decastar,x400m,48.37
karpov,3,Decastar,points,8099
bernard,4,Decastar,long_jump,7.23
bernard,4,Decastar,x100m,11.02
bernard,4,Decastar,shot_put,14.25
bernard,4,Decastar,x400m,48.93
bernard,4,Decastar,points,8067
yurkov,5,Decastar,long_jump,7.09
yurkov,5,Decastar,x100m,11.34
yurkov,5,Decastar,shot_put,15.19
yurkov,5,Decastar,x400m,50.42
yurkov,5,Decastar,points,8036
warners,6,Decastar,long_jump,7.6
warners,6,Decastar,x100m,11.11
warners,6,Decastar,shot_put,14.31
warners,6,Decastar,x400m,48.68
warners,6,Decastar,points,8030
zsivoczky,7,Decastar,long_jump,7.3
zsivoczky,7,Decastar,x100m,11.13
zsivoczky,7,Decastar,shot_put,13.48
zsivoczky,7,Decastar,x400m,48.62
zsivoczky,7,Decastar,points,8004
mcmullen,8,Decastar,long_jump,7.31
mcmullen,8,Decastar,x100m,10.83
mcmullen,8,Decastar,shot_put,13.76
mcmullen,8,Decastar,x400m,49.91
mcmullen,8,Decastar,points,7995
martineau,9,Decastar,long_jump,6.81
martineau,9,Decastar,x100m,11.64
martineau,9,Decastar,shot_put,14.57
martineau,9,Decastar,x400m,50.14
martineau,9,Decastar,points,7802
hernu,10,Decastar,long_jump,7.56
hernu,10,Decastar,x100m,11.37
hernu,10,Decastar,shot_put,14.41
hernu,10,Decastar,x400m,51.1
hernu,10,Decastar,points,7733
barras,11,Decastar,long_jump,6.97
barras,11,Decastar,x100m,11.33
barras,11,Decastar,shot_put,14.09
barras,11,Decastar,x400m,49.48
barras,11,Decastar,points,7708
nool,12,Decastar,long_jump,7.27
nool,12,Decastar,x100m,11.33
nool,12,Decastar,shot_put,12.68
nool,12,Decastar,x400m,49.2
nool,12,Decastar,points,7651
bourguignon,13,Decastar,long_jump,6.8
bourguignon,13,Decastar,x100m,11.36
bourguignon,13,Decastar,shot_put,13.46
bourguignon,13,Decastar,x400m,51.16
bourguignon,13,Decastar,points,7313
sebrle,1,OlympicG,long_jump,7.84
sebrle,1,OlympicG,x100m,10.85
sebrle,1,OlympicG,shot_put,16.36
sebrle,1,OlympicG,x400m,48.36
sebrle,1,OlympicG,points,8893
clay,2,OlympicG,long_jump,7.96
clay,2,OlympicG,x100m,10.44
clay,2,OlympicG,shot_put,15.23
clay,2,OlympicG,x400m,49.19
clay,2,OlympicG,points,8820
karpov,3,OlympicG,long_jump,7.81
karpov,3,OlympicG,x100m,10.5
karpov,3,OlympicG,shot_put,15.93
karpov,3,OlympicG,x400m,46.81
karpov,3,OlympicG,points,8725
macey,4,OlympicG,long_jump,7.47
macey,4,OlympicG,x100m,10.89
macey,4,OlympicG,shot_put,15.73
macey,4,OlympicG,x400m,48.97
macey,4,OlympicG,points,8414
warners,5,OlympicG,long_jump,7.74
warners,5,OlympicG,x100m,10.62
warners,5,OlympicG,shot_put,14.48
warners,5,OlympicG,x400m,47.97
warners,5,OlympicG,points,8343
zsivoczky,6,OlympicG,long_jump,7.14
zsivoczky,6,OlympicG,x100m,10.91
zsivoczky,6,OlympicG,shot_put,15.31
zsivoczky,6,OlympicG,x400m,49.4
zsivoczky,6,OlympicG,points,8287
hernu,7,OlympicG,long_jump,7.19
hernu,7,OlympicG,x100m,10.97
hernu,7,OlympicG,shot_put,14.65
hernu,7,OlympicG,x400m,48.73
hernu,7,OlympicG,points,8237
nool,8,OlympicG,long_jump,7.53
nool,8,OlympicG,x100m,10.8
nool,8,OlympicG,shot_put,14.26
nool,8,OlympicG,x400m,48.81
nool,8,OlympicG,points,8235
bernard,9,OlympicG,long_jump,7.48
bernard,9,OlympicG,x100m,10.69
bernard,9,OlympicG,shot_put,14.8
bernard,9,OlympicG,x400m,49.13
bernard,9,OlympicG,points,8225
schwarzl,10,OlympicG,long_jump,7.49
schwarzl,10,OlympicG,x100m,10.98
schwarzl,10,OlympicG,shot_put,14.01
schwarzl,10,OlympicG,x400m,49.76
schwarzl,10,OlympicG,points,8102
pogorelov,11,OlympicG,long_jump,7.31
pogorelov,11,OlympicG,x100m,10.95
pogorelov,11,OlympicG,shot_put,15.1
pogorelov,11,OlympicG,x400m,50.79
pogorelov,11,OlympicG,points,8084
schoenbeck,12,OlympicG,long_jump,7.3
schoenbeck,12,OlympicG,x100m,10.9
schoenbeck,12,OlympicG,shot_put,14.77
schoenbeck,12,OlympicG,x400m,50.3
schoenbeck,12,OlympicG,points,8077
barras,13,OlympicG,long_jump,6.99
barras,13,OlympicG,x100m,11.14
barras,13,OlympicG,shot_put,14.91
barras,13,OlympicG,x400m,49.41
barras,13,OlympicG,points,8067
smith,14,OlympicG,long_jump,6.81
smith,14,OlympicG,x100m,10.85
smith,14,OlympicG,shot_put,15.24
smith,14,OlympicG,x400m,49.27
smith,14,OlympicG,points,8023
averyanov,15,OlympicG,long_jump,7.34
averyanov,15,OlympicG,x100m,10.55
averyanov,15,OlympicG,shot_put,14.44
averyanov,15,OlympicG,x400m,49.72
averyanov,15,OlympicG,points,8021
ojaniemi,16,OlympicG,long_jump,7.5
ojaniemi,16,OlympicG,x100m,10.68
ojaniemi,16,OlympicG,shot_put,14.97
ojaniemi,16,OlympicG,x400m,49.12
ojaniemi,16,OlympicG,points,8006
smirnov,17,OlympicG,long_jump,7.07
smirnov,17,OlympicG,x100m,10.89
smirnov,17,OlympicG,shot_put,13.88
smirnov,17,OlympicG,x400m,49.11
smirnov,17,OlympicG,points,7993
qi,18,OlympicG,long_jump,7.34
qi,18,OlympicG,x100m,11.06
qi,18,OlympicG,shot_put,13.55
qi,18,OlympicG,x400m,49.65
qi,18,OlympicG,points,7934
