age,going
35,No
41,No
33,No
31,No
30,No
38,No
48,No
39,No
9e22,Yes
54,No
40,No
38,No
33,No
36,No
47,No
60,Yes
34,No
44,Yes
46,No
34,No
46,No
47,No
52,No
38,No
33,No
44,No
37,No
33,No
57,No
32,No
45,No
38,No
58,Yes
43,No
45,Yes
60,No
NA,No
49,No
34,No
NA,No
36,No
47,No
52,No
30,No
54,No
64,No
26,No
64,No
46,Yes
53,No
NA,No
32,No
57,No
27,No
NA,Yes
54,No
31,No
NA,No
50,No
42,No
32,No
NA,No
30,No
28,No
NA,No
44,Yes
54,Yes
38,Yes
38,No
37,No
35,No
43,No
33,No
13,Yes
51,Yes
33,No
70,No
46,No
51,No
44,No
41,No
47,No
46,No
NA,No
NA,No
43,No
43,No
36,No
70,No
19,No
32,No
35,No
27,No
43,Yes
45,No
25,No
33,No
36,No
32,No
51,No
36,No
26,No
59,No
32,No
39,Yes
61,No
31,No
42,No
33,No
42,No
52,No
33,Yes
38,Yes
46,No
31,No
34,No
37,No
23,No
46,No
42,No
40,No
NA,No
40,No
33,No
37,No
35,No
33,No
35,No
39,No
32,No
27,No
NA,No
41,Yes
55,No
32,No
37,No
13,Yes
36,No
39,No
38,No
47,No
46,Yes
33,No
45,No
31,No
44,No
40,No
33,No
45,No
38,No
13,Yes
46,No
38,No
53,No
33,No
12,Yes
33,No
40,Yes
51,No
37,No
32,No
NA,Yes
43,No
41,No
27,No
36,No
32,No
32,No
39,No
32,No
49,No
27,No
45,No
34,No
36,No
NA,Yes
12,Yes
12,Yes
50,No
13,Yes
12,Yes
59,No
36,No
46,No
46,Yes
47,No
55,No
38,No
33,No
NA,No
35,Yes
60,No
49,No
32,No
21,No
28,No
55,No
42,No
44,No
16,Yes
27,No
40,Yes
49,No
NA,No
39,No
53,No
35,No
51,No
50,No
56,No
58,No
49,No
49,No
49,No
NA,No
35,No
41,No
48,No
41,No
22,No
42,No
30,No
33,No
26,No
34,No
53,No
52,No
57,No
NA,No
33,No
34,Yes
32,No
39,No
6,Yes
58,No
22,No
6,Yes
29,No
46,No
64,No
42,No
55,No
48,No
39,No
30,No
46,No
35,No
30,No
45,No
38,No
42,No
64,No
35,No
30,No
64,No
NA,No
26,Yes
50,No
43,No
29,No
43,Yes
45,No
37,No
34,No
35,No
NA,No
53,No
37,No
45,No
32,No
40,No
60,No
58,No
NA,No
43,Yes
30,No
48,No
44.4444,No
39,No
43,No
36,No
35,Yes
55,No
58,No
34,No
31,No
31,No
53,No
NA,No
26,No
40,No
44,No
43,No
42,No
40,No
26,No
51,No
58,No
46,No
52,No
26,No
54,No
43,No
41,No
32,No
45,Yes
34,No
40,No
54,No
36,No
30,No
55,Yes
47,No
41,No
38,No
27,Yes
40,No
27,No
31,No
36,No
32,No
33,No
32,No
36,No
30,No
27,No
24,No
36,No
33,No
48,No
40,No
NA,No
58,No
41,No
51,No
34,No
32,No
41,No
NA,No
48,No
48,No
32,Yes
44,No
31,No
39,No
44,No
31,No
41,Yes
32,No
40,No
NA,No
8,Yes
44,No
34,No
44,No
43,Yes
39,No
44,No
38,Yes
22,No
50,No
40,No
NA,No
37,No
30,No
42,No
39,Yes
NA,No
43,No
44,No
59,No
27,No
30,No
45,No
54,No
45,No
20,Yes
NA,Yes
28,No
1880,No
35,No
58,No
43,No
46,No
39,No
15,No
NA,No
29,No
32,Yes
50,No
24,No
59,No
57,No
56,No
44,No
48,No
31,No
NA,No
16,No
50,No
45,No
43,Yes
25,No
35,No
46,No
50,No
43,No
34,No
32,No
44,No
36,No
45,Yes
31,No
26,No
38,No
47,No
30,No
49,No
36,No
29,No
19,No
55,No
27,No
24,No
NA,No
NA,No
42,No
42,Yes
40,No
NA,Yes
NA,No
43,No
42,No
19,No
21,No
34,No
50,No
54,No
19,No
36,No
32,No
45,No
28,No
41,No
27,No
37,No
34,No
35,No
20,No
36,No
71,No
48,No
47,No
41,Yes
58,No
37,No
41,No
45,No
42,No
46,No
NA,No
30,No
39,No
42,Yes
75,No
42,No
28,No
45,No
32,No
34,No
32,No
27,No
47,No
59,No
37,No
33,No
46,No
28,No
51,No
46,No
23,No
33,No
33,No
61,No
36,No
36,No
29,No
40,No
47,Yes
35,Yes
45,No
46,No
NA,No
39,No
37,Yes
31,No
40,No
42,Yes
55,No
40,No
57,No
43,No
28,No
50,No
51,No
44,No
NA,No
50,No
35,No
